Ministère de l’Enseignement Supérieur, de la Recherche Scientifique et de l’Innovation
PBT en millions de dirhams

Year,BG (Personnel),BG (MDD),BG (Investissement),CAS
PLF 2025,9 737,4,4 896,6,1 799,1,70,0
Projections 2026,9 960,3,5 023,3,1 701,1,70,0
Projections 2027,10 144,6,5 073,3,1 516,1,70,0
