Ministère de la Justice - Droits de l’Homme
Taux de réalisation des plans de travail des accords de partenariat avec les acteurs

Year,Taux (%)
LF 2024,100%
PLF 2025,100%
Prévision 2026,100%
Prévision 2027,100%
Cible 2027,100%
