Ministère des Affaires Étrangères – Marocains Résidant à l’Étranger
Taux d’accès à la formation

Year,Taux (%)
Réalisation 2023,22.4%
LF 2024,40%
PLF 2025,45%
Prévision 2026,48%
Prévision 2027,50%
Cible 2027,50%
