Ministère des Affaires Étrangères et Coopération Africaine,
Ind. 120.1.3. : Taux de digitalisation des services destinés aux MRE,
,
Year,Taux (%)
PLF 2025,70
Prévision 2026,76
Prévision 2027,80
Cible 2027,80
