Ministère des Affaires Étrangères – Marocains Résidant à l’Étranger
Nombre des compétences marocaines mobilisées à l’étranger
Ind. 113.1.1 : Nombre des compétences marocaines mobilisées à l’étranger
Year,Valeur
Réalisation 2023,145
LF 2024,600
PLF 2025,200
Prévision 2026,300
Prévision 2027,400
Cible 2027,400
