Ministère de la Justice - Droits de l’Homme
Taux de mise en œuvre des recommandations des mécanismes onusiens relatives au genre

Year,Taux (%)
LF 2024,30%
PLF 2025,55%
Prévision 2026,60%
Prévision 2027,65%
Cible 2027,65%
