Ministère des Affaires Étrangères – Marocains Résidant à l’Étranger
Répartition des effectifs

Category,Femmes,Hommes
Cadres et cadres supérieurs,50,70
Personnel de maîtrise,6,4
Personnel d'exécution,0,0
