Ministère des Affaires Étrangères – Marocains Résidant à l’Étranger
Répartition budgétaire des crédits au titre de 2025
Répartition des crédits du Budget Général par chapitre (en MDH)
Category,Value
Dépenses d'investissement,57.0
Dépenses du MDD,377.4
Dépenses de personnel,41.09
Budget Général Total,475.5
