Ministère de la Justice - Justice
Focus : Objectifs et indicateurs de performance les plus représentatifs
Ind. 302.2.2 : Taux d’utilisation des services électroniques destinés aux citoyens
Période,Taux
Réalisation 2023,42%
LF 2024,20%
PLF 2025,70%
Prévision 2026,80%
Prévision 2027,90%
Cible 2028,90%
